seed, order, mu, sigma, acc
896783, 1,  9, 0.001. 0.42216199939777177
45234, 1,  7, 0.001. 0.43442153493699887
9, 1,  11, 0.001. 0.4106364428945074
12, 1,  3, 0.001. 0.43324901630129287
45234, 1,  13, 0.001. 0.43442153493699887
15, 1,  13, 0.001. 0.421822272215973
15, 1,  15, 0.001. 0.421822272215973
9, 1,  3, 0.001. 0.4106364428945074
15, 1,  5, 0.001. 0.421822272215973
12, 1,  7, 0.001. 0.43324901630129287
9, 1,  1, 0.001. 0.4106364428945074
896783, 1,  3, 0.001. 0.42216199939777177
45234, 1,  3, 0.001. 0.43442153493699887
9, 1,  5, 0.001. 0.4106364428945074
896783, 1,  13, 0.001. 0.42216199939777177
896783, 1,  7, 0.001. 0.42216199939777177
45234, 1,  1, 0.001. 0.43442153493699887
12, 1,  1, 0.001. 0.43324901630129287
15, 1,  7, 0.001. 0.421822272215973
12, 1,  11, 0.001. 0.43324901630129287
896783, 1,  5, 0.001. 0.42216199939777177
9, 1,  7, 0.001. 0.4106364428945074
896783, 1,  11, 0.001. 0.42216199939777177
45234, 1,  5, 0.001. 0.43442153493699887
896783, 1,  1, 0.001. 0.42216199939777177
12, 1,  9, 0.001. 0.43324901630129287
12, 1,  13, 0.001. 0.43324901630129287
9, 1,  9, 0.001. 0.4106364428945074
45234, 1,  9, 0.001. 0.43442153493699887
12, 1,  15, 0.001. 0.43324901630129287
45234, 1,  11, 0.001. 0.43442153493699887
12, 1,  5, 0.001. 0.43324901630129287
15, 1,  9, 0.001. 0.421822272215973
15, 1,  1, 0.001. 0.421822272215973
15, 1,  3, 0.001. 0.421822272215973
896783, 1,  15, 0.001. 0.42216199939777177
9, 1,  15, 0.001. 0.4106364428945074
45234, 1,  15, 0.001. 0.43442153493699887
9, 1,  13, 0.001. 0.4106364428945074
15, 1,  11, 0.001. 0.421822272215973
896783, 1,  9, 0.1. 0.42216199939777177
45234, 1,  13, 0.1. 0.43442153493699887
15, 1,  13, 0.1. 0.421822272215973
12, 1,  3, 0.1. 0.43296795952782463
12, 1,  7, 0.1. 0.43324901630129287
45234, 1,  7, 0.1. 0.43442153493699887
896783, 1,  3, 0.1. 0.42216199939777177
9, 1,  1, 0.1. 0.4154315605928509
9, 1,  5, 0.1. 0.4116535890729439
9, 1,  3, 0.1. 0.40889276373147343
15, 1,  15, 0.1. 0.421822272215973
45234, 1,  1, 0.1. 0.43556701030927836
15, 1,  5, 0.1. 0.421822272215973
9, 1,  11, 0.1. 0.4106364428945074
45234, 1,  3, 0.1. 0.4345647193585338
15, 1,  13, 0.5. 0.42154105736782904
