 Order, Accuracy, error, Supervision
 All, 74.82, 0.0025068472228778915 , w
 1, 21.11, 0.003618572046812022 , w
 2, 32.59, 0.009851471315401825 , w
 3, 40.79, 0.0063105097821905725 , w
 4, ,  , w
 All, 60.61, 0.005447039002875116 , w/o
 1, 19.33, 0.00876967964392345 , w/o
 2, 29.33, 0.006899162427022807 , w/o
 3, 36.86, 0.0037777087260195724 , w/o
 4, ,  , w/o
