,val_loss,loss
141,-10940.740729145038,-1229095783.2678385
142,-11084.480055089805,-1267562326.2459636
143,-11200.232566250519,-1257266019.276302
144,-11338.086521490864,-1255949153.6866536
145,-11440.831356416113,-1300863987.1898437
146,-11566.591624922135,-1303280946.9273438
147,-11741.550787738788,-1295503699.308854
148,-11852.447659818834,-1372596445.0726562
149,-12016.134720203489,-1407955053.2440104
150,-12111.47235776578,-1371051311.9039063
151,-12291.357475407496,-1391333155.1064453
152,-12432.9648956603,-1400224566.4035156
153,-12554.902089065095,-1429414073.6351562
154,-12699.163840259032,-1441427322.7904296
155,-12838.153461443626,-1465285390.3673828
156,-12933.519824867628,-1484191016.203125
157,-13077.37623935839,-1496682075.3536458
158,-13242.587807892962,-1503774679.636914
159,-13401.07378237905,-1571476745.6789062
160,-13562.591728742733,-1541043488.1141927
161,-13673.312117161546,-1539441919.4294271
162,-13799.670345268376,-1572087069.124479
163,-13978.388602120536,-1599694737.8023438
164,-14115.231030030109,-1625886629.6408854
165,-14258.063236477366,-1651966498.4473307
166,-14407.922233505502,-1617835555.9675782
167,-14570.447283469166,-1673014221.0910156
168,-14715.146132358284,-1631738509.048177
169,-14824.236577943315,-1689397151.877474
170,-14980.680566730689,-1722504233.6390624
171,-15161.3330078125,-1710085697.4451823
172,-15271.576011277513,-1753982023.4609375
173,-15448.232397542048,-1697656787.4401693
174,-15586.108343282807,-1849712820.397526
175,-15746.48498170162,-1813109899.746224
176,-15887.260489124792,-1799869083.9419272
177,-16072.756420655109,-1826230068.718815
178,-16192.702239280523,-1839777876.7212892
179,-16356.083426339286,-1818312266.6270833
180,-16492.526539140366,-1849861439.8860676
181,-16640.850764379153,-1877947823.8448567
182,-16818.443592971347,-1913448921.4575522
183,-16978.405526500206,-1916443839.9128907
184,-17104.64295771906,-1899040625.4643881
185,-17230.71621612853,-2001095204.2190754
186,-17449.608956473214,-1973481975.0835938
187,-17619.03660000519,-2035239391.298177
188,-17770.45090907911,-2003839069.2089193
189,-17889.715096812706,-1980957993.3721354
190,-18107.337300145347,-2064701570.8444011
191,-18250.77766170058,-2037968276.0378907
192,-18419.599995457847,-2107494142.233073
193,-18553.867589804817,-2089194607.2989583
194,-18750.79847773048,-2134098250.8822916
195,-18929.06340518584,-2128612464.8369792
196,-19059.58194365137,-2199793695.1152344
197,-19246.794328150954,-2197551543.4304686
198,-19432.68587131437,-2186457720.648763
199,-19558.05318534572,-2198093293.776693
200,-19724.934382137668,-2204273870.967839
201,-19898.689501790905,-2222061683.251042
202,-20113.63429843231,-2330280540.1078124
203,-20262.075756592607,-2355783415.54388
204,-20418.741405601122,-2299554640.740104
205,-20627.304989228614,-2352996408.5397134
206,-20764.7728729755,-2379134931.9582033
207,-20981.776441808553,-2447598575.2920575
208,-21126.12085690926,-2334074695.3121095
209,-21280.00300755295,-2399702996.726042
210,-21500.316620379985,-2429431640.420833
211,-21662.42725096034,-2397368565.528646
212,-21787.43676027824,-2446403633.7404947
213,-22006.31456992317,-2512614315.744531
214,-22214.340771646595,-2588115149.0989585
215,-22343.717371132683,-2564660592.4885416
216,-22554.677562422134,-2572994132.5609374
217,-22758.74453644103,-2505817430.5766926
218,-22923.701859686462,-2596900341.7523437
219,-23119.901873312916,-2663205403.1751304
220,-23277.758247248756,-2615407538.9179688
221,-23443.963688745847,-2646124364.548698
222,-23675.44563693937,-2687406274.532161
223,-23829.107610049832,-2683195816.2773438
224,-24013.130158585962,-2728240430.9739585
225,-24195.152966673588,-2757039788.383659
226,-24439.848486814783,-2774512004.8360677
227,-24520.849310890782,-2783545662.445573
228,-24759.829377335962,-2801677969.9526043
229,-24956.12387419539,-2850571190.5251303
230,-25172.875340661336,-2831191332.46875
231,-25381.51205292255,-2929927733.759375
232,-25563.79486023152,-2883397516.9257812
233,-25740.927588377283,-2890451396.114844
234,-25922.024715791114,-2918797665.3617187
235,-26136.353564290905,-2902109136.136068
236,-26314.2918883669,-2971064723.15625
237,-26520.994497508305,-3055714485.6033854
238,-26711.302614332435,-3023025153.2036457
239,-26917.67424989618,-2996143414.095573
240,-27091.817113527824,-3093429344.831771
241,-27277.700136913412,-3066947272.2690105
242,-27520.119559151786,-3077074255.778646
243,-27691.243556634137,-3204670772.6796875
244,-27847.368326282183,-3116396170.1490884
245,-28108.58567470411,-3217833000.8083334
246,-28281.646010693523,-3215106594.536198
247,-28483.372297420057,-3255400343.1255207
248,-28712.641900046718,-3281238284.6171875
249,-28880.147292229027,-3266557779.4947915
250,-29081.593217919435,-3253230160.690625
251,-29289.40890715843,-3290190182.847396
252,-29533.239559541114,-3405502388.398698
253,-29682.468876531355,-3383205802.480729
254,-29939.624918890157,-3413866084.3835936
255,-30107.006180569973,-3404593331.065625
256,-30335.990633435424,-3466971264.2434897
257,-30500.87668059593,-3507631287.9639974
258,-30677.138048951412,-3452340130.216146
259,-31007.446577813538,-3478245159.229948
260,-31190.60969295058,-3514437612.2954426
261,-31359.195014015782,-3595019536.251042
262,-31617.02989384344,-3573999053.8210936
263,-31800.490857298588,-3603250630.367708
264,-32050.00865604236,-3648817448.7565103
265,-32276.78065303156,-3540908707.244271
266,-32508.879632994187,-3679783732.1751304
267,-32697.988975550248,-3755717973.405599
268,-32852.87287167774,-3703961748.919141
269,-33151.6451476848,-3761710647.8802085
270,-33352.75187525955,-3725189084.5539064
271,-33605.901844113374,-3821927502.8320312
272,-33791.3248870951,-3865060054.8260417
273,-33956.830084613786,-3956530246.1015625
274,-34218.09774709302,-3896669826.5390625
275,-34452.009389275336,-3966297234.8010416
276,-34653.15086430648,-3962021910.4104166
277,-34963.25433450997,-3951900614.586458
278,-35156.113209873336,-4110496917.076302
279,-35364.155717919435,-4005418582.784896
280,-35605.86941315407,-4068209262.7947917
281,-35872.39394725914,-4075176543.187044
282,-36081.46249480897,-4145184499.9821615
283,-36313.930693262046,-4150030992.129427
284,-36563.03909494394,-4230173195.0377603
285,-36765.189589389534,-4172149471.1263022
286,-37040.10945286545,-4263200781.1184897
287,-37242.327372300664,-4130294506.292578
288,-37494.37101588455,-4265143748.83112
289,-37682.09341258305,-4186286426.3084636
290,-37920.810475498336,-4404493130.484896
291,-38195.96955460963,-4292111815.0335937
292,-38433.192846760794,-4207477245.3721356
293,-38667.89127387874,-4320718473.20625
294,-38893.70086690199,-4450611593.651107
295,-39108.35059567068,-4494135643.938541
296,-39349.89019674003,-4540118927.738542
297,-39654.14427818729,-4516621654.871614
298,-39856.378724563954,-4568112144.423568
299,-40102.8346008098,-4615482262.363802
300,-40319.08618407392,-4577222557.3828125
301,-40595.17957719062,-4664671266.163021
302,-40817.523697051496,-4629123722.151042
303,-41051.60256177326,-4657553334.270183
304,-41267.97688693937,-4666453775.530338
305,-41480.12296900955,-4776292828.789583
306,-41815.42896075582,-4784476571.623438
307,-42057.84730585548,-4749128472.232813
308,-42311.28026370432,-4790091024.191667
309,-42536.295869237954,-4894479545.980989
310,-42650.08073349253,-4779466318.301302
311,-43068.830655627076,-4941816785.310678
312,-43260.97783430233,-4852856505.547135
313,-43559.22435631229,-4893463994.307292
314,-43792.977029692694,-4954290886.707422
315,-44060.15399190199,-4964411033.328385
316,-44243.26144622093,-5020690779.678646
317,-44512.01513185216,-4965732951.2730465
318,-44773.93166009136,-4974665012.296972
319,-45043.53218438538,-5121590093.3
320,-45337.02114695805,-5171159948.369792
321,-45578.82105222176,-5184667478.042708
322,-45759.76639067691,-5213714558.206771
323,-46124.63549885798,-5376960055.752084
324,-46378.76028472799,-5323390108.283334
325,-46525.22998209095,-5354910403.4296875
326,-46871.81653602575,-5254743817.918229
327,-47084.19516325789,-5372243040.984375
328,-47378.50121989202,-5467275371.3
329,-47637.46439602367,-5359240517.930729
330,-47772.7493835652,-5635209176.678125
331,-48008.920914659466,-5682930602.509896
332,-48403.67894128945,-5388193264.640104
333,-48692.6186799211,-5559508418.353255
334,-48934.60668864202,-5511929888.879687
335,-49188.6417021387,-5685250056.941406
336,-49480.700243978405,-5684566015.460156
337,-49746.17895426702,-5645785151.385157
338,-49947.258993459305,-5559331646.082552
339,-50250.11686306063,-5592420064.286458
340,-50510.80290308347,-5883730956.194792
341,-50797.33658637874,-5727094248.373959
342,-51090.91253114618,-5886672213.223437
343,-51312.54526578073,-5925057506.546354
344,-51635.532372560214,-5873997433.836719
345,-51861.61885511836,-5946357080.44349
346,-52110.85173120847,-5963599736.847917
347,-52398.299502958886,-5983955265.569792
348,-52693.11531224045,-6042967531.1
349,-53012.791943521595,-5936011710.727864
350,-53294.65225290698,-6056892706.9244795
351,-53532.9747651059,-6199500454.407812
352,-53739.068145245015,-6086423377.272917
353,-54005.58998650332,-6211075027.067708
354,-54371.07033196636,-6230058453.694271
355,-54631.92607973422,-6144754801.021875
356,-54961.40006618563,-6317535819.890104
357,-55204.4869445598,-6262045279.858594
358,-55462.91604158015,-6360247258.407812
359,-55685.611542254985,-6236102479.657291
360,-56010.47741901993,-6304420820.652604
361,-56323.462773826825,-6439460254.798959
362,-56590.0854767961,-6381387479.971875
363,-56924.64994938746,-6476038909.939062
364,-57195.675404900336,-6565088099.482813
365,-57459.935047238374,-6587876783.084115
366,-57768.12007501038,-6567787929.602083
367,-58043.27963429195,-6681199783.1588545
368,-58305.7141234946,-6624675416.410937
369,-58556.24785221138,-6606578964.872916
370,-58868.877550093435,-6911124200.411458
371,-59177.91336171096,-6810813853.405729
372,-59373.350634603405,-6727155239.245833
373,-59784.546265053985,-6916482641.203385
374,-60096.733349771595,-6897713256.833854
375,-60360.896412998336,-6707203630.670053
376,-60674.16029900332,-6905487641.485807
377,-60878.24011108804,-6752907959.615104
378,-61216.01094009551,-6913055731.599479
379,-61547.52906976744,-6915866499.103907
380,-61791.791015625,-6903163629.51875
381,-62098.87476640366,-7136760457.213021
382,-62450.33496418189,-7052290250.279688
383,-62773.79852315199,-7028329179.340625
384,-63029.5260589701,-7078706621.430729
385,-63308.402304817275,-7293516175.363021
386,-63538.31017701412,-7183624015.75026
387,-63904.34197207226,-7131154314.98125
388,-64249.86769362541,-7376627670.763541
389,-64504.4233674211,-7325455286.707812
390,-64855.68964129983,-7309542221.024739
391,-65134.58932464701,-7310735034.014584
392,-65487.29632994186,-7548972328.526563
393,-65768.48700944768,-7573448844.897656
394,-66140.95257994186,-7566144666.259375
395,-66431.52748650333,-7559411023.053646
396,-66680.54520089286,-7546322232.729427
397,-67008.00760485881,-7655663354.819792
398,-67301.83221293605,-7683678107.378386
399,-67620.02069923173,-7718857715.085417
400,-67959.11707070183,-7885268338.832812
401,-68252.83081135797,-7753062429.436459
402,-68534.32667151163,-7914838368.120833
403,-68870.63385070598,-7824504907.800521
404,-69200.67992109635,-7913226506.307292
405,-69469.6928986711,-7919970633.555989
406,-69836.65487437708,-7731447621.003125
407,-70176.60458627492,-8179478178.897917
408,-70471.92680647841,-8131234119.2375
409,-70806.31588714701,-8023819079.81875
410,-71162.14165022841,-8144906568.509896
411,-71454.7071350706,-7980754092.567708
412,-71780.09001245847,-8232211562.292969
413,-72112.90579578489,-8237648535.980208
414,-72365.24662583056,-8201476502.95625
415,-72629.51568988788,-8359427486.360677
416,-73073.74207070183,-8136740145.927604
417,-73329.0322233181,-8262891681.339583
418,-73653.01519674003,-8213356122.807813
419,-73918.83492524918,-8411009200.713021
420,-74272.80739981313,-8435927936.427083
421,-74632.69801183554,-8437091252.797656
422,-74942.26744186046,-8579109109.451041
423,-75318.62050975913,-8757381978.426563
424,-75636.75167410714,-8606561495.336458
425,-75980.3427766819,-8693324830.96823
426,-76349.95976951827,-8731160568.589582
427,-76641.41667099252,-8492655441.273958
428,-76957.26585859635,-8568131831.354948
429,-77287.60271750415,-8882107925.464062
430,-77540.22736710963,-8911833960.727083
431,-77950.25014275333,-8827659865.30052
432,-78320.57676235466,-8875460862.664062
433,-78624.98886524087,-8923333144.659636
434,-78954.09150487957,-8986513122.378124
435,-79327.55640053986,-9112657241.230207
436,-79600.48193521595,-8836136073.225
437,-79958.06442068107,-9144999745.092188
438,-80285.8555725706,-9163556674.395834
439,-80597.76703955565,-9130918231.591667
440,-81019.41388081395,-9225429509.910418
441,-81382.98103976328,-9148552899.444792
442,-81672.71169019933,-9256033911.426043
443,-82034.14726951827,-9207473778.970833
444,-82296.15194144518,-9492266204.259375
445,-82690.62882838455,-9326164611.927605
446,-83066.58628789452,-9615529924.71888
447,-83451.8546511628,-9356543995.082813
448,-83802.61229495432,-9510068073.93802
449,-84087.43320442276,-9606457485.290104
450,-84487.68567016195,-9629509958.270182
451,-84736.42399034469,-9707984326.014063
452,-85132.28815406977,-9448888262.452604
453,-85507.43921303986,-9736327986.44323
454,-85876.77957589286,-9860160664.097918
455,-86186.13776993356,-9815827972.871876
456,-86563.84824024087,-9978567637.379168
457,-86984.8518739618,-9685109341.241667
458,-87231.75003893272,-9715092509.835417
459,-87654.59676079734,-9786126270.390104
460,-87987.1941315407,-9822765835.425
461,-88274.58964908638,-9992736275.120832
462,-88705.36385226328,-10038266505.770834
463,-89035.70921148256,-9993975130.385416
464,-89424.2528291113,-10023816246.893229
465,-89780.11010174418,-10231415620.941668
