,val_loss,loss
0,0.03801495728513865,0.15435950555534006
1,-0.5773091925613916,-0.8114234888142793
2,-2.408517052878195,-5.532796714907494
3,-5.599840655255673,-16.300758664853106
4,-9.992194310942693,-31.568550163340344
5,-14.932625343550496,-52.306627006174246
6,-21.616317791725272,-79.7017783049111
7,-29.34982689814781,-109.23483155152508
8,-37.62604223792233,-145.00696050340883
9,-50.01811827474565,-184.68122749685128
10,-59.248610254543934,-228.19430684597694
11,-73.21303780399151,-275.23461628851487
12,-85.77386303802035,-326.90688288323236
13,-97.40615987066013,-380.25867198338017
14,-107.70447859123571,-438.79196423682095
15,-127.1407516251749,-505.0974771374854
16,-144.70176924520464,-574.7346131511938
17,-162.94279491367624,-642.1619696216048
18,-183.14044622165054,-723.1959816050306
19,-195.58873726004984,-797.1932835088712
20,-221.2071444383308,-874.0228716413551
21,-241.25481289536205,-967.9395324136609
22,-263.342249172837,-1041.6855092271467
23,-290.4578217463707,-1130.2381032783294
24,-311.1481086389342,-1224.3842020480433
25,-332.97193772045534,-1328.3349153037384
26,-357.73676311435986,-1427.7212980751679
27,-391.6531590703708,-1543.7027234228972
28,-416.61645097874884,-1644.1585773218458
29,-438.3983190735774,-1768.7985098295123
30,-462.16191943723766,-1879.423937646028
31,-506.6924575122435,-1993.818277234229
32,-536.3096263373076,-2091.4640360324183
33,-533.0340384867654,-2205.2340646904204
34,-595.4955339574102,-2375.2379230249708
35,-617.6830603756122,-2457.8842613719335
36,-652.3775320480119,-2626.694849317319
37,-662.5242223027926,-2748.462758287091
38,-696.7543316741488,-2863.2857449255257
39,-755.0186444182895,-2990.730167567173
40,-782.9769774479653,-3130.188527900482
41,-808.1900325034982,-3282.054418260806
42,-838.3640127609025,-3483.5795693085574
43,-894.3609354958605,-3595.388185875438
44,-913.5935249897971,-3816.6557434652455
45,-960.9600647883628,-3883.877475631571
46,-993.0834459902635,-4051.957213785047
47,-1040.616918763118,-4238.163980359229
48,-1071.5746924556904,-4397.369421272634
49,-1102.604664361299,-4629.980188102366
50,-1183.610430817106,-4755.451025846963
51,-1203.3940438797224,-4914.87727484302
52,-1254.09094511573,-5120.035911488756
53,-1270.7564369315533,-5279.087525554906
54,-1328.9653174556904,-5439.444153402454
55,-1412.8178018598414,-5622.998900226344
56,-1453.9426014458954,-5816.850088529498
57,-1484.6052109447878,-5945.78943213347
58,-1515.2637538625233,-6175.267760660046
59,-1537.619781949627,-6375.586530738902
60,-1602.3363693009562,-6585.086206739194
61,-1634.7883674279967,-6797.350877993575
62,-1689.6117435284516,-6945.938065858645
63,-1764.5277044951026,-7110.813449182243
64,-1789.2445432748368,-7350.003605067173
65,-1821.6890504751632,-7499.89007739486
66,-1857.5921157153684,-7737.844617041472
67,-1925.2806378264925,-8087.589469553154
68,-1986.0824338998368,-8177.900390625
69,-2021.181245262943,-8313.668776467583
70,-2069.773442965835,-8508.68493994597
71,-2149.1688214202427,-8893.269348714954
72,-2195.7731824277053,-8990.772351416472
73,-2226.832122347248,-9296.428026431075
74,-2357.9452359783118,-9443.034362222546
75,-2390.8369450355644,-9621.634523766063
76,-2483.416274341185,-9972.505266136099
77,-2430.177428288246,-10165.559013580607
78,-2413.1616520668144,-10435.677232403621
79,-2658.504068403102,-10731.102840245327
80,-2626.626029398904,-10908.030360141647
81,-2763.5401939278217,-10976.577513507593
82,-2803.4296747463854,-11339.55298536069
83,-2835.053137024837,-11588.440543771903
84,-2857.362933258512,-11855.91011974299
85,-2955.742234870569,-12061.980596524532
86,-2914.542833926073,-12332.324976270444
87,-2954.7483165228546,-12588.609228971962
88,-3197.11573723181,-12806.367908513435
89,-3262.431790024487,-12998.331182462032
90,-3194.9484316697763,-13243.535649094627
91,-3291.5528108966882,-13517.202668662383
92,-3432.5248331098414,-13898.650399751752
93,-3348.5591749504433,-14043.028548481308
94,-3538.3781483208954,-14478.255384783879
95,-3629.9278036089086,-14647.268919757593
96,-3575.9187667618935,-15007.989203051986
97,-3613.307668201959,-15283.973450277454
98,-3704.34376457556,-15485.89343603972
99,-3675.6955894356342,-15848.035338785046
100,-3964.925963444496,-16121.766154351635
101,-4044.634871297808,-16264.22597838785
102,-4013.192900244869,-16545.296829366238
103,-4227.635436100746,-16787.8724718896
104,-4210.980789412313,-17066.716596086448
105,-4233.645150711287,-17195.440676109814
106,-4179.453580486241,-17603.326080607476
107,-4287.894713444496,-17789.04586193049
108,-4543.944740409282,-18291.915522780375
109,-4512.7415643948225,-18553.71721670561
110,-4554.487720090951,-18832.613409024532
111,-4595.437649399487,-18922.557589807242
112,-4607.871676772388,-19529.36851087909
113,-4741.465084246735,-19694.074090975468
114,-4868.124974492771,-19976.09327540888
115,-4724.992919921875,-20178.806184287383
116,-4984.034427472015,-20753.033403913552
117,-5213.965255509562,-20954.38199109229
118,-5075.967325239039,-21042.20969626168
119,-5183.8769749883395,-21249.176803446262
120,-5326.2140894647855,-21777.786360981307
121,-5532.7290950034985,-22414.43386755257
122,-5384.379569437966,-22786.229738609814
123,-5541.076893365205,-22824.115672459113
124,-5657.583401352612,-23496.756790303738
125,-5517.621924556903,-23901.159590391355
126,-5597.059865467584,-24135.20655665888
127,-5747.826139079991,-24825.006352219625
128,-5835.039663741838,-24911.05344626168
129,-6004.136281483209,-24998.815311039718
130,-5968.066275069963,-25364.309816734814
131,-6181.109455165579,-25880.520370911214
132,-6112.039026061101,-25971.217673043226
133,-6519.028159981343,-26479.8126916618
134,-6343.486408290579,-26840.76496787383
135,-6603.615930357976,-26946.034699912383
136,-6521.218990496735,-27409.39778037383
137,-6513.645387564133,-28081.170049649532
138,-6699.482305270522,-28345.759747371496
139,-6758.084020813899,-28583.906505549065
140,-6718.959155637826,-29077.28117698598
141,-7023.0726445895525,-29329.9281359521
142,-7026.049746385262,-29489.219206337617
143,-7291.498411263992,-30168.074419538552
144,-7377.9647781599815,-30703.150390625
145,-7436.9873046875,-30745.220484082944
146,-7380.334822469683,-31147.960097838786
