,val_loss,loss
69,-2168.297814212628,-2923.8300370546144
70,-2222.899945159457,-3025.225150420287
71,-2279.238309490147,-3097.095644086321
72,-2333.4707860234957,-3142.725631286051
73,-2388.309111182369,-3263.6372498129017
74,-2445.182598057078,-3349.055574506243
75,-2500.1457036715833,-3400.4220050562208
76,-2559.3789326682017,-3450.7261951482183
77,-2615.8646103588503,-3570.308776285047
78,-2675.586283669543,-3660.428003614194
79,-2733.1819111838267,-3713.361328695422
80,-2794.4639929017026,-3827.6139155592873
81,-2854.395398495802,-3928.59906462197
82,-2915.965112486882,-3986.478850177515
83,-2975.3784790039062,-4075.4506162839516
84,-3036.0526022839904,-4124.060824670524
85,-3098.9194536351447,-4222.027804650993
86,-3161.1736951230178,-4341.133734301986
87,-3223.7913727262126,-4427.320714718828
88,-3286.8235027256296,-4499.71988742151
89,-3350.0310404763295,-4582.83353830498
90,-3416.121913625233,-4667.771309237613
91,-3479.0507885377797,-4744.083189206703
92,-3545.7996334246736,-4841.589740218403
93,-3607.8179457934934,-4905.796230423116
94,-3675.6007025419776,-4979.311671747226
95,-3740.743522985658,-5079.308952545452
96,-3808.2378002565297,-5236.788658641209
97,-3876.173489243237,-5305.079277822904
98,-3943.6291686100744,-5401.618804361218
99,-4010.7460864622203,-5496.731830917786
100,-4082.9781931407415,-5560.16525068907
101,-4150.129021032532,-5640.411818459769
102,-4220.509071463969,-5747.843420866494
103,-4289.474425358559,-5855.392388744889
104,-4360.422793260262,-5985.177021347474
105,-4433.061671015042,-6088.264982704804
106,-4503.761880903102,-6179.227026253103
107,-4577.953524005947,-6253.586081103744
108,-4649.811898758162,-6387.748459860543
109,-4725.291134051423,-6455.498024058119
110,-4799.434524763876,-6645.634800991165
111,-4870.518846198694,-6660.0100439909465
112,-4946.220344201843,-6779.910530446846
113,-5022.937230352146,-6878.969070577175
114,-5097.195995729361,-6998.4263673586265
115,-5174.803521455224,-7125.452091395298
116,-5251.046492391558,-7234.033086758907
117,-5329.780014721316,-7360.795166015625
118,-5403.381495233792,-7471.862569363318
119,-5484.471563083022,-7500.799489244122
120,-5563.900359651936,-7595.9953453563085
121,-5645.211398452076,-7736.059228059287
122,-5722.733108748251,-7927.157837484485
