,val_loss,loss
0,0.06284932220882888,0.17502079138131899
1,-0.49304891544491497,-0.36247084252416617
2,-2.2209617922555154,-3.8387856405472087
3,-5.140836897181042,-12.04498852524802
4,-9.186089433840852,-24.157791102043937
5,-14.199281443410845,-40.72673540917513
6,-20.868451460083918,-60.80401261944637
7,-27.645499699151337,-84.21710943061615
8,-36.27480765954772,-112.16512619446371
9,-44.10642279439897,-143.36240051839954
10,-56.471383109021545,-181.60804449063596
11,-67.91935302962118,-222.29630186847436
12,-79.48683878201157,-259.9632922021028
13,-92.28108260880656,-300.73825272889894
14,-106.10849693639955,-347.72862286433997
15,-115.46951635559994,-396.1889163578782
16,-136.5629459210296,-448.27735658449546
17,-152.0435919690488,-504.82963547751166
18,-168.85594108923158,-569.6902819481966
19,-187.2191233848458,-630.9311996887777
20,-204.6391993280667,-682.0748456438012
21,-224.8165300283859,-763.111221456082
22,-244.2712142716593,-824.6619217061551
23,-265.9559681451143,-897.1074349947065
24,-287.0482826802268,-964.9771386262412
25,-310.9831055598473,-1041.3936237085645
26,-334.8853028710209,-1126.8435400846963
27,-341.0057215904122,-1209.236465026285
28,-380.8960124912547,-1280.616266838858
29,-407.26893023590543,-1388.9394588292203
30,-432.09918053470443,-1473.5273380457797
31,-459.0469075672662,-1578.894993291837
32,-489.0710039281133,-1655.7292663003798
33,-508.6623243645056,-1762.6403694509345
34,-540.9059744308244,-1863.1051333418516
35,-562.416918398729,-1959.157660083236
36,-596.2133757178464,-2063.4841160284022
37,-630.7485410775711,-2183.313389858353
38,-660.5303513256472,-2245.669786114559
39,-688.7284964945779,-2376.266529689325
40,-725.229089082177,-2493.043881425234
41,-758.2045388292911,-2607.3834194290303
42,-778.4453931210646,-2711.026120765187
43,-807.6910915090077,-2854.5670154607183
44,-844.8937291387301,-2946.446688357915
45,-883.9578383716184,-3077.030109155958
46,-921.4749819627449,-3158.3553729191003
47,-959.3379425504314,-3322.831821334696
48,-996.7039093473064,-3395.507623119889
49,-1024.8933014371503,-3563.6670880183997
50,-1076.44665254052,-3687.415805709696
51,-1099.257675854128,-3890.5080999926986
52,-1156.8776983004898,-4003.763589734229
53,-1179.662650492654,-4086.0378851489486
54,-1220.8140185911263,-4249.734596323744
55,-1258.2771160068796,-4417.1142874744455
56,-1298.5567308112757,-4533.861807279498
57,-1344.3487904107392,-4707.746422313084
58,-1372.4339636048273,-4816.300105870327
59,-1416.2793907051655,-5060.179326993282
60,-1483.7612204480527,-5082.145799868575
61,-1526.0675950690882,-5236.993844005549
62,-1565.9999061698345,-5493.707428263727
63,-1621.7602420636078,-5593.706812207944
64,-1653.2135082643424,-5814.937025408878
65,-1674.1872777227145,-5879.966139748832
66,-1720.037794426306,-6138.295328015479
67,-1788.4201951667444,-6170.846456082068
68,-1821.9247882899954,-6455.428510148949
69,-1870.8483996035447,-6587.6374580169395
70,-1918.3377102524487,-6657.330260660046
71,-1975.1978705107276,-6819.466774058119
72,-2008.569099084655,-7131.8434716340535
73,-2081.7273696216184,-7228.252277124708
74,-2118.220220309585,-7353.213442793516
75,-2172.3896411497203,-7526.673732294101
76,-2221.0878632958256,-7915.997973860981
77,-2251.5106346927473,-7913.928108571846
78,-2294.5483708168144,-8093.0344352365655
79,-2360.6808735861705,-8377.8262677059
80,-2419.766107815415,-8562.571690639603
81,-2474.8170985890856,-8743.770361784462
82,-2528.8112483238106,-8923.262284608645
83,-2598.099316041861,-9049.906313887266
84,-2616.002226416744,-9295.461133725175
85,-2651.8408403538947,-9477.103237259054
86,-2731.0614505597014,-9674.980089989778
87,-2772.836034063083,-9931.216199072722
88,-2865.1641754605876,-10023.639995254089
89,-2904.3744843895756,-10325.683456848716
90,-2947.4644666073928,-10462.032692026869
91,-3016.640778043377,-10569.347711010514
92,-3042.9929436071593,-10792.287282783294
93,-3146.933396979944,-11062.554057754089
94,-3182.6485486386428,-11039.359840464369
95,-3281.2652478573928,-11589.747125073014
96,-3356.846874635611,-11823.40781067465
97,-3361.8440214697994,-11856.7473578052
98,-3451.4028065240204,-12104.951249452395
99,-3471.790465397621,-12276.67879307827
100,-3529.546776614972,-12543.241722035631
101,-3648.1174134211756,-12713.089670341706
102,-3722.81419987465,-13053.691652672313
103,-3761.4632058214784,-13150.878153292932
104,-3837.865660710121,-13535.149605724298
105,-3884.780419193097,-13705.035621714369
106,-3978.7832760027986,-13992.093421436915
107,-4045.761780696129,-14223.60484813084
108,-4118.386113864272,-14400.817547094042
109,-4209.959993732509,-14567.95925817757
110,-4250.140836345616,-14926.284900700935
