tanh ,(64,), 1, 0.8644657736525683
tanh ,(64,), 2, 0.8095891857640722
tanh ,(64,), 3, 0.8029567053854276
relu ,(64,), 1, 0.842860156085214
relu ,(64,), 2, 0.7860612460401266
relu ,(64,), 3, 0.7790918690601902
logistic ,(64,), 1, 0.8637130801687763
logistic ,(64,), 2, 0.8069286016054077
logistic ,(64,), 3, 0.8012671594508975
tanh ,(128, 64), 1, 0.8666385313357249
tanh ,(128, 64), 2, 0.8103084072665823
tanh ,(128, 64), 3, 0.8046462513199577
tanh ,(256,), 1, 0.863473306604769
relu ,(128, 64), 1, 0.8514767932489452
tanh ,(256,), 2, 0.8084072665821714
relu ,(128, 64), 2, 0.7949313621964098
tanh ,(256,), 3, 0.8019007391763464
relu ,(128, 64), 3, 0.7881731784582894
relu ,(256,), 1, 0.8549731041029427
relu ,(256,), 2, 0.7978880675818374
relu ,(256,), 3, 0.7915522703273494
logistic ,(128, 64), 1, 0.8668776371308018
logistic ,(128, 64), 2, 0.8113645965356993
logistic ,(128, 64), 3, 0.8048574445617741
logistic ,(256,), 1, 0.8630512766406415
logistic ,(256,), 2, 0.8064209525821101
logistic ,(256,), 3, 0.7993664202745512
