len, length
30,30
39,39
6,6
16,16
29,29
16,16
18,18
7,7
10,10
8,8
12,12
12,12
10,10
6,6
6,6
5,5
23,23
22,22
10,10
5,5
13,13
16,16
13,13
21,21
21,21
17,17
21,21
27,27
12,12
32,32
22,22
32,32
15,15
33,33
15,15
33,33
10,10
8,8
32,32
11,11
10,10
6,6
6,6
12,12
27,27
38,38
20,20
21,21
27,27
8,8
7,7
5,5
5,5
7,7
11,11
23,23
15,15
32,32
9,9
8,8
29,29
38,38
35,35
35,35
44,44
23,23
14,14
12,12
11,11
19,19
18,18
35,35
36,36
8,8
17,17
17,17
11,11
15,15
30,30
9,9
12,12
11,11
6,6
15,15
14,14
16,16
37,37
36,36
37,37
5,5
38,38
6,6
31,31
18,18
35,35
37,37
25,25
6,6
36,36
6,6
10,10
5,5
5,5
9,9
8,8
5,5
5,5
6,6
6,6
15,15
10,10
6,6
6,6
6,6
6,6
8,8
20,20
21,21
12,12
36,36
6,6
19,19
9,9
9,9
24,24
20,20
13,13
10,10
12,12
14,14
12,12
12,12
10,10
12,12
14,14
12,12
12,12
28,28
28,28
34,34
10,10
6,6
10,10
10,10
9,9
30,30
6,6
5,5
10,10
12,12
6,6
9,9
14,14
11,11
6,6
8,8
10,10
22,22
5,5
7,7
29,29
15,15
5,5
11,11
24,24
26,26
6,6
8,8
24,24
26,26
6,6
11,11
5,5
5,5
6,6
5,5
7,7
7,7
7,7
6,6
12,12
36,36
6,6
13,13
6,6
21,21
32,32
8,8
6,6
27,27
10,10
5,5
9,9
9,9
6,6
6,6
12,12
8,8
19,19
24,24
6,6
20,20
9,9
24,24
9,9
20,20
6,6
16,16
17,17
15,15
14,14
11,11
11,11
15,15
11,11
10,10
30,30
18,18
11,11
18,18
16,16
15,15
9,9
13,13
13,13
12,12
15,15
28,28
27,27
12,12
29,29
27,27
10,10
10,10
9,9
12,12
14,14
31,31
16,16
13,13
27,27
29,29
31,31
31,31
33,33
35,35
5,5
6,6
8,8
12,12
12,12
15,15
30,30
31,31
30,30
30,30
30,30
9,9
13,13
13,13
7,7
39,39
33,33
5,5
9,9
6,6
5,5
6,6
12,12
11,11
11,11
15,15
31,31
14,14
15,15
10,10
6,6
8,8
30,30
8,8
16,16
27,27
29,29
10,10
6,6
6,6
6,6
13,13
8,8
20,20
24,24
19,19
9,9
9,9
20,20
6,6
12,12
21,21
5,5
7,7
5,5
6,6
24,24
8,8
6,6
9,9
11,11
11,11
11,11
24,24
12,12
6,6
5,5
10,10
26,26
12,12
17,17
14,14
9,9
6,6
11,11
22,22
8,8
6,6
9,9
25,25
31,31
15,15
36,36
6,6
31,31
25,25
32,32
5,5
7,7
25,25
25,25
5,5
10,10
10,10
5,5
9,9
9,9
11,11
13,13
12,12
9,9
9,9
23,23
25,25
12,12
9,9
7,7
5,5
26,26
5,5
13,13
52,52
11,11
18,18
14,14
13,13
13,13
13,13
5,5
5,5
7,7
11,11
9,9
15,15
6,6
6,6
9,9
11,11
25,25
30,30
9,9
17,17
9,9
23,23
7,7
14,14
9,9
18,18
9,9
11,11
9,9
11,11
26,26
25,25
9,9
12,12
10,10
10,10
52,52
29,29
29,29
13,13
19,19
8,8
33,33
8,8
13,13
9,9
11,11
5,5
6,6
5,5
5,5
27,27
13,13
9,9
8,8
7,7
9,9
15,15
5,5
8,8
12,12
31,31
39,39
6,6
5,5
31,31
30,30
30,30
30,30
6,6
13,13
7,7
5,5
15,15
8,8
31,31
5,5
9,9
33,33
11,11
13,13
5,5
14,14
6,6
37,37
14,14
7,7
9,9
5,5
10,10
12,12
6,6
6,6
5,5
5,5
30,30
25,25
27,27
8,8
9,9
29,29
9,9
17,17
12,12
6,6
5,5
15,15
9,9
30,30
22,22
5,5
9,9
30,30
8,8
19,19
5,5
27,27
38,38
62,62
27,27
6,6
13,13
7,7
15,15
8,8
6,6
17,17
10,10
8,8
30,30
12,12
29,29
5,5
30,30
21,21
37,37
6,6
27,27
31,31
10,10
27,27
10,10
7,7
17,17
6,6
21,21
5,5
9,9
5,5
36,36
62,62
5,5
5,5
27,27
13,13
8,8
8,8
19,19
9,9
6,6
5,5
9,9
9,9
5,5
6,6
5,5
6,6
6,6
8,8
15,15
9,9
33,33
5,5
25,25
5,5
15,15
6,6
9,9
30,30
11,11
7,7
17,17
30,30
26,26
31,31
25,25
26,26
16,16
20,20
16,16
12,12
9,9
18,18
36,36
5,5
17,17
6,6
32,32
8,8
5,5
10,10
5,5
15,15
26,26
29,29
33,33
5,5
9,9
12,12
12,12
58,58
9,9
13,13
25,25
12,12
5,5
6,6
9,9
11,11
31,31
25,25
25,25
27,27
8,8
7,7
7,7
10,10
38,38
14,14
25,25
5,5
41,41
39,39
39,39
40,40
42,42
8,8
13,13
15,15
17,17
16,16
20,20
18,18
31,31
24,24
11,11
30,30
36,36
30,30
26,26
18,18
44,44
43,43
23,23
26,26
24,24
31,31
30,30
36,36
7,7
7,7
6,6
38,38
7,7
7,7
7,7
40,40
38,38
40,40
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
39,39
43,43
30,30
23,23
15,15
16,16
20,20
17,17
26,26
26,26
28,28
