actication:relu, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.355620372447834, accu:0.3022212250392641
actication:logistic, hidden64, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.199012788871439, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.01, Precision: 0.0664, Recall: 0.7109, F1-measure: 0.1212, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.1, Precision: 0.1662, Recall: 0.6577, F1-measure: 0.2639, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.2, Precision: 0.1671, Recall: 0.6577, F1-measure: 0.2650, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.3, Precision: 0.1670, Recall: 0.6563, F1-measure: 0.2648, RANK:11.07942562261611, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.4, Precision: 0.1016, Recall: 0.3028, F1-measure: 0.1511, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.074938299304465, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.5, Precision: 0.1008, Recall: 0.2983, F1-measure: 0.1496, RANK:11.07942562261611, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.074938299304465, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.6, Precision: 0.1190, Recall: 0.2974, F1-measure: 0.1675, RANK:11.07942562261611, accu:0.3022212250392641

