 Order, Accuracy, error, Training set
All, 81.18, 0.0035068472228778915 , Manual
0, 07.52, 0.005618572046812022 , Manual
1, 41.69, 0.01851471315401825 , Manual
2, 51.47, 0.0043105097821905725 , Manual
3, ,  , Manual
All, 66.87, 0.003447039002875116 , Automatic
0, 07.73, 0.00276967964392345 , Automatic
1, 39.70, 0.004899162427022807 , Automatic
2, 45.52, 0.0017777087260195724 , Automatic
