 Order, Accuracy, error, Training set
All, 74.83, 0.0025068472228778915 , Manual
0, 24.95, 0.003618572046812022 , Manual
1, 37.23, 0.009851471315401825 , Manual
2, 43.26, 0.0063105097821905725 , Manual
3, ,  , Manual
All, 60.99, 0.005447039002875116 , Automatic
0, 21.97, 0.00876967964392345 , Automatic
1, 31.24, 0.006899162427022807 , Automatic
2, 37.93, 0.0037777087260195724 , Automatic
