Order, Mean, Std, Acuracy, error, Supervision
 3,  13, 5, 61.0, 0.008844986956758226 , w
 3,  9, 10, 60.93, 0.009469756715959107 , w
 3,  3, 5, 35.05, 0.2731654485432154 , w
 3,  11, 10, 61.12, 0.013527129965814037 , w
 3,  1, 10, 40.75, 0.18955957391876466 , w
 3,  3, 10, 33.0, 0.2723727830817101 , w
 3,  13, 10, 61.26, 0.014773568807638414 , w
 3,  5, 10, 13.72, 0.0 , w
 4,  , , ,  , w
 All,  3, 0.001, 81.2, 0.0 , w
 All,  11, 0.001, 80.98, 0.0027075897409290146 , w
 All,  9, 0.001, 81.16, 0.00013292246889540227 , w
 All,  3, 0.1, 81.32, 0.0 , w
 All,  9, 0.1, 81.13, 0.00027743490783077585 , w
 All,  3, 0.5, 80.94, 0.0 , w
 All,  9, 0.5, 81.19, 0.0007679562439997789 , w
 All,  3, 5, 62.8, 0.0 , w
 All,  11, 0.1, 81.14, 0.00027610689043033876 , w
 All,  9, 5, 81.11, 0.005243737069939636 , w
 All,  3, 10, 73.06, 0.0 , w
 All,  9, 10, 79.68, 0.00845246856703541 , w
 All,  11, 0.5, 81.15, 0.0002045146796628705 , w
 All,  5, 0.001, 81.17, 0.0 , w
 All,  1, 0.001, 81.17, 0.0 , w
 All,  11, 5, 79.69, 0.0028249344683777267 , w
 All,  5, 0.1, 81.24, 0.0 , w
 All,  15, 0.001, 80.9, 0.002935328172511298 , w
 All,  1, 0.1, 81.19, 0.0 , w
 All,  11, 10, 75.96, 0.036898722012636886 , w
 All,  5, 0.5, 81.28, 0.0 , w
 All,  15, 0.1, 80.86, 0.002935446728518143 , w
 All,  1, 0.5, 80.76, 0.0 , w
 All,  5, 5, 80.94, 0.0 , w
 All,  15, 0.5, 80.99, 0.0037784984929160603 , w
 All,  1, 5, 79.32, 0.0 , w
 All,  5, 10, 71.26, 0.0 , w
 All,  15, 5, 81.09, 0.006238140447452523 , w
 All,  1, 10, 57.0, 0.0 , w
 All,  15, 10, 80.92, 0.005465510951097374 , w
 All,  13, 0.001, 80.9, 0.002935328172511298 , w
 All,  13, 0.1, 80.88, 0.0028651034978131595 , w
 All,  13, 0.5, 80.9, 0.002935328172511298 , w
 All,  13, 5, 80.59, 0.0030767654886309508 , w
 All,  13, 10, 80.98, 0.004129938015758172 , w
 
