actication:tanh, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.870540722459053, accu:0.3022212250392641
actication:logistic, hidden64, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.159075611397801, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.355844738613417, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.355844738613417, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.355844738613417, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.01, Precision: 0.0651, Recall: 0.7162, F1-measure: 0.1190, RANK:11.355844738613417, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.1, Precision: 0.1365, Recall: 0.6636, F1-measure: 0.2254, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.2, Precision: 0.1375, Recall: 0.6636, F1-measure: 0.2268, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.3, Precision: 0.1365, Recall: 0.6553, F1-measure: 0.2248, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.4, Precision: 0.1299, Recall: 0.5586, F1-measure: 0.2088, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.01, Precision: 0.0657, Recall: 0.7169, F1-measure: 0.1200, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.5, Precision: 0.0933, Recall: 0.3029, F1-measure: 0.1414, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.1, Precision: 0.1373, Recall: 0.6636, F1-measure: 0.2265, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.6, Precision: 0.1319, Recall: 0.2991, F1-measure: 0.1805, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.2, Precision: 0.1358, Recall: 0.6439, F1-measure: 0.2231, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.7, Precision: 0.1453, Recall: 0.2984, F1-measure: 0.1935, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.3, Precision: 0.1108, Recall: 0.4773, F1-measure: 0.1786, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.8, Precision: 0.1563, Recall: 0.2967, F1-measure: 0.2030, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.4, Precision: 0.1007, Recall: 0.2989, F1-measure: 0.1496, RANK:11.16087054072246, accu:0.3022212250392641

actication:relu, hidden128, alpha0.001, Val: 0.9, Precision: 0.2897, Recall: 0.2796, F1-measure: 0.2829, RANK:11.355844738613417, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.5, Precision: 0.1013, Recall: 0.2983, F1-measure: 0.1502, RANK:11.16087054072246, accu:0.3022212250392641

actication:tanh, hidden128, alpha0.001, Val: 0.6, Precision: 0.1077, Recall: 0.2974, F1-measure: 0.1565, RANK:11.16087054072246, accu:0.3022212250392641

