tanh ,(256,), 1, 0.4339622641509434
tanh ,(256,), 2, 0.4339622641509434
tanh ,(256,), 3, 0.4027061855670103
logistic ,(128, 64), 1, 0.425974025974026
logistic ,(128, 64), 2, 0.425974025974026
logistic ,(128, 64), 3, 0.4014175257731959
relu ,(64,), 1, 0.4318181818181818
relu ,(64,), 2, 0.4305194805194805
relu ,(64,), 3, 0.40463917525773196
logistic ,(64,), 1, 0.4300097434231893
logistic ,(64,), 2, 0.4300097434231893
logistic ,(64,), 3, 0.4033505154639176
tanh ,(64,), 1, 0.430939226519337
tanh ,(64,), 2, 0.430939226519337
tanh ,(64,), 3, 0.4065721649484536
relu ,(128, 64), 1, 0.4107897302567436
relu ,(128, 64), 2, 0.4106562703053931
relu ,(128, 64), 3, 0.38466494845360827
tanh ,(128, 64), 1, 0.430939226519337
logistic ,(256,), 1, 0.4266233766233766
tanh ,(128, 64), 2, 0.4302892427689308
logistic ,(256,), 2, 0.4266233766233766
tanh ,(128, 64), 3, 0.4027061855670103
logistic ,(256,), 3, 0.39239690721649484
relu ,(256,), 1, 0.44119558154645877
relu ,(256,), 2, 0.44119558154645877
relu ,(256,), 3, 0.4117268041237113
