tanh ,(64,), 1, 0.8653035742157016
tanh ,(64,), 2, 0.7739962358845671
tanh ,(64,), 3, 0.7125176249412501
logistic ,(64,), 1, 0.8655829946858394
logistic ,(64,), 2, 0.7739602169981916
logistic ,(64,), 3, 0.7096976343412188
tanh ,(128, 64), 1, 0.8656669790690409
tanh ,(128, 64), 2, 0.7741732778257797
tanh ,(128, 64), 3, 0.7123609587968041
tanh ,(256,), 1, 0.8707887125771907
tanh ,(256,), 2, 0.7763374970539714
tanh ,(256,), 3, 0.714867617107943
relu ,(64,), 1, 0.8629655657062544
relu ,(64,), 2, 0.7745628479573434
relu ,(64,), 3, 0.7114209619301269
logistic ,(256,), 1, 0.8666926981647795
logistic ,(256,), 2, 0.7743505219370537
logistic ,(256,), 3, 0.7123609587968041
relu ,(128, 64), 1, 0.8739167772659849
relu ,(128, 64), 2, 0.7815370123243581
relu ,(128, 64), 3, 0.7145542848190506
logistic ,(128, 64), 1, 0.8619612742036226
logistic ,(128, 64), 2, 0.7723270440251573
logistic ,(128, 64), 3, 0.709070969763434
relu ,(256,), 1, 0.8691574175394715
relu ,(256,), 2, 0.7780744463640648
relu ,(256,), 3, 0.7145542848190506
